Japanisch;Deutsch;Kanji
しろ;Weiß;白
くろ;Schwarz;黒
あか;Rot;赤
あお;Blau;青
みどり;Grün;緑
むらさき;Lila;紫
きいろ;Gelb;黄色
ちゃいろ;Braun;茶色
ピンク;Pink;
オレンジ;Orange;
グレイ;Grau;
ベージュ;Beige;

あまい;süß;甘い
からい;scharf;辛い
にがい;bitter;苦い
しおから;salzig;塩辛い
すっぱい;sauer;酸っぱい
こい;stark, dick;濃い
うすい;dünn;薄い
