Japanisch;Deutsch
のみもの;Getränke
ビール;Bier
みず;Wasser
ワイン;Wein
コーラ;Cola
おちゃ;Grüntee
こうちゃ;Schwarztee
ジュース;Saft
ぎゅうにゅう;Milch
コーヒー;Kaffee
「お」さけ;Alkohol/Reiswein
