Japanisch;Deutsch;Kanji
うちのなか;im Haus;うちの中
げんかん;Eingang;玄関
トイレ;Toilette;
ふろば;Bad;ふろ場
せんめんじょ;Waschraum;洗面所
だいどころ;Küche;台所
しょくどう;Esszimmer;食堂
いま;Wohnzimmer;居間
しんしつ;Schlafzimmer;寝室
ろうか;Flur;廊下
ベランダ;Balkon;
