Japanisch;Deutsch
からだ;Körper
あし;Fuß
て;Hand
け;Haar
あたま;Kopf
かお;Gesicht
は;Zahn
くちびる;Lippe
くち;Mund
め;Auge/n
みみ;Ohren
つめ;Fingernagel
ゆび;Finger
はな;Nase
