Japanisch;Deutsch
れい;0
いち;1
に;2
さん;3
し;4
よん;4
ご;5
ろく;6
しち;7
なな;7
はち;8
きゅう;9
じゅう;10
じゅういち;11
じゅうに;12
じゅうさん;13
じゅうよん;14
じゅうご;15
じゅうろく;16
じゅうなな;17
じゅうはち;18
じゅうきゅう;19
にじゅう;20
さんじゅう;30
よんじゅう;40
ごじゅう;50
ろくじゅう;60
しちじゅう;70
はちじゅう;80
きゅうじゅう;90
ひゃく;100
にひゃく;200
さんびゃく;300
よんひゃく;400
ごひゃく;500
ろっびゃく;600
ななひゃく;700
はっぴゃく;800
きゅうひゃく;900
せん;1.000
にせん;2.000
さんぜん;3.000
よんせん;4.000
ごせん;5.000
ろくせん;6.000
ななせん;7.000
はっせん;8.000
きゅうせん;9.000
いちまん;10.000
じゅうまん;100.000
ひゃくまん;1.000.000
せんまん;10.000.000

